DATE,QUSR628BIS
1970-01-01,60.8353
1970-04-01,60.2782
1970-07-01,60.5473
1970-10-01,60.4917
1971-01-01,61.6763
1971-04-01,62.668
1971-07-01,62.6758
1971-10-01,63.8707
1972-01-01,63.5966
1972-04-01,64.8796
1972-07-01,65.5389
1972-10-01,66.34
1973-01-01,68.4107
1973-04-01,68.5136
1973-07-01,68.7579
1973-10-01,68.6351
1974-01-01,68.3801
1974-04-01,67.7954
1974-07-01,67.5599
1974-10-01,65.9986
1975-01-01,66.5454
1975-04-01,67.4132
1975-07-01,67.187
1975-10-01,67.3645
1976-01-01,64.9775
1976-04-01,66.1539
1976-07-01,66.7882
1976-10-01,68.7294
1977-01-01,70.3431
1977-04-01,72.0361
1977-07-01,73.5351
1977-10-01,74.7998
1978-01-01,76.676
1978-04-01,77.3014
1978-07-01,78.6052
1978-10-01,79.3025
1979-01-01,80.8105
1979-04-01,81.5963
1979-07-01,81.8879
1979-10-01,82.4624
1980-01-01,81.0649
1980-04-01,79.2135
1980-07-01,80.257
1980-10-01,79.8249
1981-01-01,79.2353
1981-04-01,78.388
1981-07-01,76.9698
1981-10-01,76.7513
1982-01-01,76.472
1982-04-01,75.4577
1982-07-01,74.1161
1982-10-01,74.4454
1983-01-01,75.2757
1983-04-01,75.3244
1983-07-01,75.4489
1983-10-01,75.7212
1984-01-01,75.7797
1984-04-01,75.9594
1984-07-01,76.2413
1984-10-01,76.2379
1985-01-01,76.6545
1985-04-01,77.396
1985-07-01,77.509
1985-10-01,78.3319
1986-01-01,79.7383
1986-04-01,81.444
1986-07-01,82.7535
1986-10-01,83.5827
1987-01-01,85.3945
1987-04-01,86.1793
1987-07-01,87.0513
1987-10-01,88.0768
1988-01-01,88.9135
1988-04-01,90.01
1988-07-01,91.2874
1988-10-01,92.6445
1989-01-01,93.5951
1989-04-01,93.4676
1989-07-01,93.9723
1989-10-01,94.2309
1990-01-01,93.9208
1990-04-01,93.0722
1990-07-01,91.2722
1990-10-01,89.3813
1991-01-01,87.9885
1991-04-01,88.0986
1991-07-01,87.1121
1991-10-01,86.2389
1992-01-01,85.8329
1992-04-01,84.9751
1992-07-01,84.1904
1992-10-01,83.8414
1993-01-01,83.3817
1993-04-01,83.1507
1993-07-01,83.4102
1993-10-01,83.5927
1994-01-01,83.3252
1994-04-01,83.2766
1994-07-01,82.943
1994-10-01,82.9146
1995-01-01,82.5222
1995-04-01,82.3172
1995-07-01,82.7079
1995-10-01,82.7231
1996-01-01,82.6735
1996-04-01,82.4441
1996-07-01,82.4702
1996-10-01,82.3908
1997-01-01,82.5107
1997-04-01,83.0115
1997-07-01,83.7091
1997-10-01,84.6317
1998-01-01,86.0858
1998-04-01,86.7789
1998-07-01,87.9693
1998-10-01,89.3296
1999-01-01,90.3553
1999-04-01,91.2579
1999-07-01,92.4725
1999-10-01,93.8848
2000-01-01,95.2517
2000-04-01,96.6747
2000-07-01,97.9918
2000-10-01,99.6765
2001-01-01,101.0949
2001-04-01,101.8101
2001-07-01,103.6132
2001-10-01,105.6199
2002-01-01,107.1622
2002-04-01,108.7731
2002-07-01,111.0766
2002-10-01,112.9852
2003-01-01,114.1108
2003-04-01,116.1503
2003-07-01,118.9338
2003-10-01,122.8156
2004-01-01,125.8526
2004-04-01,128.9867
2004-07-01,132.912
2004-10-01,137.1075
2005-01-01,141.8567
2005-04-01,145.5245
2005-07-01,148.7674
2005-10-01,152.1098
2006-01-01,154.1062
2006-04-01,150.47899999999998
2006-07-01,148.4946
2006-10-01,149.7652
2007-01-01,146.8124
2007-04-01,139.7559
2007-07-01,135.4611
2007-10-01,130.1909
2008-01-01,123.6983
2008-04-01,115.54799999999999
2008-07-01,109.1419
2008-10-01,106.5318
2009-01-01,103.964
2009-04-01,102.9079
2009-07-01,102.4816
2009-10-01,102.8661
2010-01-01,101.5074
2010-04-01,101.4267
2010-07-01,99.1049
2010-10-01,97.9769
2011-01-01,95.0814
2011-04-01,94.0411
2011-07-01,93.9779
2011-10-01,94.0244
2012-01-01,94.0803
2012-04-01,95.7817
2012-07-01,97.4279
2012-10-01,99.5283
2013-01-01,101.4175
2013-04-01,103.5064
2013-07-01,105.6859
2013-10-01,108.0429
2014-01-01,108.6048
2014-04-01,108.051
2014-07-01,109.3555
2014-10-01,111.9284
2015-01-01,113.9538
2015-04-01,113.919
2015-07-01,115.2346
2015-10-01,117.4541
2016-01-01,118.7932
2016-04-01,118.744
2016-07-01,119.9965
2016-10-01,121.6026
2017-01-01,122.2671
2017-04-01,123.3331
2017-07-01,124.7244
2017-10-01,126.2394
2018-01-01,127.0825
2018-04-01,127.2182
2018-07-01,128.0547
2018-10-01,129.2362
2019-01-01,129.7697
2019-04-01,129.4871
2019-07-01,130.6615
2019-10-01,132.3183
2020-01-01,133.6368
2020-04-01,135.4162
2020-07-01,138.2958
2020-10-01,143.1529
2021-01-01,146.1088
2021-04-01,149.5592
2021-07-01,153.6787
2021-10-01,157.4733
2022-01-01,161.0615
2022-04-01,160.9575
2022-07-01,157.7838
2022-10-01,157.5104
2023-01-01,157.5971
2023-04-01,157.4891
2023-07-01,159.3208
2023-10-01,160.9958
