iter	RMSE
0	26.45505468
1	22.71444127
2	19.59613334
3	16.95138959
4	15.21668217
5	13.03713013
6	11.58473964
7	10.54132797
8	9.617306109
9	8.589864557
10	7.584672618
11	6.826741002
12	6.031420971
13	5.424999012
14	4.894443977
15	4.402460399
16	3.929312586
17	3.65576813
18	3.407996782
19	3.146219995
20	2.938660704
21	2.69624659
22	2.517637015
23	2.309387776
24	2.15899063
25	2.038679747
26	1.906998001
27	1.794341072
28	1.703273296
29	1.595614326
30	1.522655643
31	1.448950905
32	1.380490306
33	1.326503821
34	1.256196044
35	1.205869573
36	1.145037526
37	1.111933065
38	1.057040828
39	1.005603086
40	0.9672384962
41	0.9258015454
42	0.8904514485
43	0.8582239529
44	0.8328597072
45	0.794265294
46	0.7615993264
47	0.7276792522
48	0.7013425104
49	0.6721610818
