iter	Passed	Remaining
0	452	22168
1	765	18365
2	841	13184
3	1019	11722
4	1396	12572
5	1768	12972
6	2103	12923
7	2449	12859
8	2761	12579
9	3097	12388
10	3105	11008
11	3495	11069
12	3836	10919
13	4185	10762
14	4378	10215
15	4385	9320
16	4700	9125
17	4740	8426
18	5057	8251
19	5084	7626
20	5475	7560
21	5801	7383
22	6134	7200
23	6147	6660
24	6519	6519
25	6540	6037
26	6852	5836
27	7199	5657
28	7577	5487
29	7581	5054
30	7889	4835
31	7891	4438
32	8059	4151
33	8442	3972
34	8769	3758
35	9108	3542
36	9482	3331
37	9805	3096
38	10146	2861
39	10516	2629
40	10826	2376
41	11165	2126
42	11542	1878
43	11871	1618
44	12043	1338
45	12409	1079
46	12719	811
47	13048	543
48	13438	274
49	13781	0
