DATE,HNFSEPUSSA,HOUST1F,HSN1F,INTDSRUSM193N,LFACTTTTUSM657S,MSACSR,NA000334Q,NASDAQCOM,PERMIT,PERMIT1,QUSR628BIS,RSAHORUSQ156S,TTLCONS,UNRATE,Median Home Price (NSA),CPI-Adjusted Price,CSUSHPISA
2000-01-01,311.0,1268.0,873.0,5.0,1.49097212809519,4.3,2448892.0,,1727.0,1277.0,95.2517,67.1,784940.0,4.0,131559.13,239289.53,100.552
2000-02-01,299.0,1255.0,856.0,5.24,0.132848798386133,4.3,2448892.0,,1692.0,1241.0,95.2517,67.1,793737.0,4.1,131318.85,237445.83,101.339
2000-03-01,313.0,1313.0,900.0,5.34,-0.0154433649688325,4.3,2448892.0,,1651.0,1253.0,95.2517,67.1,809459.0,4.0,132827.82,238210.25,102.126
2000-04-01,305.0,1275.0,841.0,5.5,0.222559220410857,4.4,2569266.0,,1597.0,1192.0,96.6747,67.3,804766.0,3.8,134096.51,240345.1,102.922
2000-05-01,305.0,1230.0,857.0,5.71,-0.254288936679953,4.4,2569266.0,,1543.0,1182.0,96.6747,67.3,805005.0,4.0,135144.14,241940.32,103.678
2000-06-01,306.0,1202.0,793.0,6.0,0.142568193948928,4.8,2569266.0,,1572.0,1156.0,96.6747,67.3,795411.0,4.0,136537.77,243159.2,104.424
2000-07-01,303.0,1142.0,887.0,6.0,-0.219508945164842,4.1,2577927.0,,1542.0,1152.0,97.9918,67.5,783795.0,4.0,137220.17,243808.8,105.054
2000-08-01,302.0,1231.0,848.0,6.0,0.165872446899732,4.4,2577927.0,,1552.0,1173.0,97.9918,67.5,805341.0,4.1,137623.85,244526.04,105.768
2000-09-01,300.0,1195.0,912.0,6.0,0.0028067417937886,4.0,2577927.0,,1570.0,1189.0,97.9918,67.5,814330.0,3.9,138200.52,244278.37,106.537
2000-10-01,301.0,1235.0,933.0,6.0,0.0729732384681233,4.0,2655636.0,,1577.0,1224.0,99.6765,67.5,816100.0,3.9,138652.25,244654.29,107.382
2000-11-01,305.0,1212.0,880.0,6.0,0.238392393880327,4.2,2655636.0,,1614.0,1208.0,99.6765,67.5,820054.0,3.9,139084.76,245276.49,108.301
2000-12-01,298.0,1226.0,983.0,6.0,0.200053160979841,3.6,2655636.0,,1543.0,1180.0,99.6765,67.5,811516.0,3.9,139507.66,246163.67,109.14
2001-01-01,296.0,1275.0,936.0,5.52,0.385345694180722,3.8,2562488.0,,1699.0,1251.0,101.0949,67.6,814479.0,4.2,140103.56,245662.11,109.846
2001-02-01,296.0,1280.0,963.0,5.0,-0.06884561891516,3.7,2562488.0,,1656.0,1242.0,101.0949,67.6,813647.0,4.2,141016.63,246278.57,110.501
2001-03-01,292.0,1218.0,939.0,4.81,0.155183332057536,3.8,2562488.0,,1659.0,1232.0,101.0949,67.6,828057.0,4.3,142275.7,247913.39,111.109
2001-04-01,294.0,1311.0,909.0,4.28,-0.246657958366916,3.9,2656407.0,,1666.0,1259.0,101.8101,67.8,842392.0,4.4,143515.56,249084.28,111.651
2001-05-01,295.0,1285.0,885.0,3.73,-0.174828827950324,4.0,2656407.0,,1665.0,1240.0,101.8101,67.8,848146.0,4.3,144697.75,250005.47,112.163
2001-06-01,301.0,1295.0,882.0,3.47,0.027212213399573,4.2,2656407.0,,1626.0,1252.0,101.8101,67.8,855730.0,4.5,145899.15,251656.36,112.796
2001-07-01,305.0,1298.0,880.0,3.25,0.207175094344887,4.2,2651366.0,,1598.0,1235.0,103.6132,67.9,850471.0,4.6,146725.72,253794.99,113.491
2001-08-01,308.0,1286.0,866.0,3.16,-0.25756331184652,4.4,2651366.0,,1615.0,1241.0,103.6132,67.9,847465.0,4.9,147273.57,254742.62,114.167
2001-09-01,310.0,1243.0,853.0,2.77,0.49202981491304,4.4,2651366.0,,1565.0,1192.0,103.6132,67.9,837412.0,5.0,147782.96,254476.79,114.812
2001-10-01,308.0,1240.0,871.0,2.02,0.067366257144643,4.3,2711715.0,,1566.0,1185.0,105.6199,67.9,845941.0,5.3,148350.03,256315.79,115.31
2001-11-01,308.0,1244.0,924.0,1.58,0.106880612967256,4.1,2711715.0,,1651.0,1229.0,105.6199,67.9,843911.0,5.5,148321.2,256699.35,115.856
2001-12-01,308.0,1285.0,979.0,1.33,0.0450637825845813,3.8,2711715.0,,1680.0,1251.0,105.6199,67.9,849689.0,5.7,148830.59,258601.36,116.454
2002-01-01,310.0,1318.0,880.0,1.25,-0.292436159523232,4.2,2631119.0,,1665.0,1285.0,107.1622,67.9,858654.0,5.7,149291.93,258817.08,117.143
2002-02-01,313.0,1501.0,948.0,1.25,0.535157037315041,4.0,2631119.0,,1787.0,1401.0,107.1622,67.9,862338.0,5.7,150147.34,259275.24,117.844
2002-03-01,316.0,1292.0,923.0,1.25,-0.1189052422003,4.1,2631119.0,,1691.0,1289.0,107.1622,67.9,844551.0,5.7,151637.09,260383.27,118.687
2002-04-01,324.0,1277.0,936.0,1.25,0.168880337206968,4.3,2721842.0,,1669.0,1285.0,108.7731,67.8,858240.0,5.9,152905.77,261101.48,119.61
2002-05-01,327.0,1402.0,978.0,1.25,0.147175678010019,4.0,2721842.0,,1716.0,1289.0,108.7731,67.8,850935.0,5.8,154558.91,263924.38,120.724
2002-06-01,328.0,1368.0,957.0,1.25,-0.089693524127558,4.2,2721842.0,,1758.0,1314.0,108.7731,67.8,846777.0,5.8,156067.88,266352.96,121.813
2002-07-01,333.0,1323.0,956.0,1.25,-0.0034528479089553,4.2,2751463.0,,1738.0,1307.0,111.0766,67.9,847129.0,5.8,157105.9,267826.74,122.888
2002-08-01,334.0,1247.0,1014.0,1.25,0.142262245947943,4.0,2751463.0,,1695.0,1317.0,111.0766,67.9,839008.0,5.7,157970.92,268407.19,123.831
2002-09-01,333.0,1446.0,1044.0,1.25,0.374459516305884,3.9,2751463.0,,1803.0,1366.0,111.0766,67.9,832134.0,5.7,158653.32,269119.86,124.78
2002-10-01,335.0,1352.0,1006.0,1.25,-0.163515444652083,4.0,2824686.0,,1799.0,1382.0,112.9852,68.2,839690.0,5.7,159354.94,269862.71,125.734
2002-11-01,338.0,1394.0,1024.0,0.83,-0.187869028448739,4.0,2824686.0,,1771.0,1382.0,112.9852,68.2,844697.0,5.9,159729.78,270497.49,126.669
2002-12-01,339.0,1439.0,1048.0,0.75,0.0172365055398129,4.0,2824686.0,,1896.0,1409.0,112.9852,68.2,855921.0,6.0,160383.35,272204.86,127.624
2003-01-01,341.0,1537.0,999.0,2.25,0.600416362207547,4.0,2743734.0,,1808.0,1416.0,114.1108,68.1,863855.0,5.8,160883.13,271850.87,128.461
